RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.039179728,61,1,0.358676291,32000.0,13,0,6,0,0.0,0
0.881076071,28,0,0.261956341,6000.0,12,0,0,2,0.0,1
0.121270298,31,0,0.228885557,2000.0,5,0,0,0,0.0,0
0.337308348,57,1,0.479850047,3200.0,13,0,1,1,2.0,0
0.03304371,69,0,0.016660356,2640.0,4,0,0,0,0.0,0
0.578177728,25,0,0.590720483,2650.0,11,0,1,0,1.0,1
1.000782541,49,1,0.642629905,6600.0,9,0,1,1,0.0,1
0.285918309,29,1,0.442033898,1474.0,9,0,0,0,0.0,0
1.00313917,29,1,2.568862275,500.0,12,0,0,1,0.0,0
0.31750943,62,0,0.744654669,6500.0,20,0,1,0,0.0,0
0.043024108,60,0,40.0,,2,0,0,0,0.0,0
1.089460292,63,1,1288.0,,5,2,0,2,0.0,1
0.665244365,38,0,0.289847488,13375.0,15,0,1,0,3.0,0
0.277256573,58,0,0.464229115,8833.0,12,0,1,0,2.0,0
0.05099745,48,0,0.201982652,4841.0,2,0,1,0,2.0,0
0.442938807,80,0,0.333185202,9000.0,8,0,2,0,0.0,0
0.280366071,63,0,0.629327902,5400.0,10,0,2,0,0.0,0
0.619843503,66,0,2997.0,,14,0,1,0,0.0,0
0.001980029,69,0,0.583138954,3000.0,10,0,1,0,0.0,0
0.17728101,78,0,119.0,,4,0,0,0,0.0,0
0.674555227,50,0,0.442956274,33000.0,9,0,2,0,3.0,0
0.00222214,50,0,0.210875332,15833.0,8,0,2,0,5.0,0
0.277036148,41,0,0.070366204,8000.0,9,0,0,0,2.0,0
0.525684234,56,0,5595.0,,6,0,3,0,2.0,0
0.316165384,35,0,0.331385914,3080.0,8,0,0,0,0.0,0
0.095416277,46,0,0.229738354,4700.0,5,0,1,0,0.0,0
0.012553429,63,0,0.018392643,2500.0,10,0,0,0,0.0,0
0.96152513,35,0,0.221194701,4000.0,5,1,0,0,2.0,0
0.003529352,78,1,1391.0,,6,1,1,1,0.0,0
0.998615438,60,0,0.323494173,9180.0,6,0,1,0,1.0,0
0.076263925,31,0,0.00159968,5000.0,3,0,0,0,1.0,0
0.688049979,48,1,0.509629509,12253.0,11,0,3,0,2.0,0
0.246891589,47,3,0.504126547,4361.0,13,0,1,0,3.0,0
0.060066817,84,0,2480.0,,4,0,1,0,0.0,0
0.093312597,24,0,0.002499479,4800.0,2,0,0,0,0.0,0
0.083156674,46,0,0.100489951,10000.0,3,0,1,0,3.0,0
0.061357306,66,0,593.0,,34,0,1,0,0.0,0
0.232504999,22,0,0.0059985,4000.0,3,0,0,0,0.0,0
0.01439856,40,0,0.054389122,5000.0,3,0,0,0,0.0,0
0.0,68,0,242.0,,3,0,0,0,0.0,0
0.698976723,35,0,0.589326391,6145.0,11,0,1,0,2.0,0
0.00060323,66,0,0.005189029,10791.0,6,0,0,0,0.0,0
0.884322479,35,1,0.281430826,1900.0,6,0,0,0,1.0,1
0.695076328,57,1,0.386211104,4916.0,7,0,0,0,0.0,0
0.0,39,1,0.465420783,8400.0,7,0,2,0,1.0,0
0.0,52,0,1855.0,0.0,3,0,1,0,0.0,0
0.0,38,0,0.828021497,8000.0,9,0,3,0,3.0,0
0.042415253,50,0,890.0,,8,0,2,0,1.0,0
0.145903584,59,0,0.479955662,5412.0,4,0,1,0,0.0,0
0.030596363,78,0,725.0,,5,0,1,0,0.0,0
0.036813032,45,0,632.0,,5,0,1,0,0.0,0
0.123438206,54,0,2412.0,,9,0,1,0,2.0,0
0.024866156,87,0,0.002699055,5927.0,4,0,0,0,0.0,0
0.632247596,68,0,0.143485651,10000.0,9,0,0,0,1.0,0
0.07296215,49,0,0.259409221,10866.0,11,0,2,0,2.0,0
0.362547775,60,1,7232.0,,12,0,2,1,0.0,0
0.258783205,39,0,0.381936471,5225.0,5,0,1,0,0.0,0
0.023326055,67,0,34.0,,6,0,0,0,,0
0.9999999,49,0,2.141742523,768.0,5,0,1,0,0.0,0
0.438347603,43,0,0.325533175,3375.0,8,0,2,0,1.0,0
0.07006516,57,0,0.392880949,7500.0,10,0,2,0,3.0,0
0.314595927,63,1,0.338830585,3334.0,11,0,1,0,1.0,1
0.180945476,66,0,0.119792369,14833.0,3,0,1,0,3.0,0
0.535892821,33,0,0.785134291,1600.0,4,0,1,0,2.0,0
0.006729945,64,0,2.072069546,10697.0,15,0,11,0,0.0,0
0.017364592,64,0,2530.0,,11,0,3,0,1.0,0
0.946263434,41,2,0.202661431,4583.0,5,1,0,0,0.0,0
0.111456247,52,0,0.223615969,8290.0,19,0,1,0,2.0,0
1.017928974,63,1,0.466042155,5550.0,7,0,1,0,0.0,1
0.021184332,60,0,0.715350224,1341.0,6,0,1,0,0.0,0
0.511025503,40,0,0.154057772,15266.0,9,0,2,0,0.0,0
0.03159842,47,0,18.0,,2,0,0,0,0.0,0
0.780730897,37,0,0.122552448,5719.0,8,0,0,0,1.0,0
0.447123514,77,0,0.519296905,7850.0,13,0,2,0,0.0,0
0.0,40,0,0.407687181,4500.0,5,0,1,0,0.0,0
0.044870788,67,0,0.109232638,9877.0,10,0,0,0,0.0,0
0.044462317,41,0,0.391288522,8241.0,13,0,2,0,1.0,0
0.081091891,29,1,0.005440943,4410.0,3,0,0,0,0.0,0
0.077134986,23,0,0.086765294,2500.0,4,0,0,0,0.0,0
0.431291817,39,0,0.577211394,2000.0,11,0,1,0,2.0,0
0.297816788,43,0,0.542639659,7750.0,6,0,2,0,2.0,0
0.069888368,43,0,0.361452641,8783.0,3,0,1,0,3.0,0
0.019222268,78,0,0.028452464,1440.0,9,0,0,0,0.0,0
0.0,58,0,0.152403535,13916.0,10,0,2,0,0.0,0
0.004692187,81,0,170.0,,6,0,0,0,0.0,0
0.810945274,49,0,4.0,,1,0,0,0,0.0,0
0.884424827,62,0,1.171948052,1924.0,11,0,1,0,0.0,0
0.9999999,47,0,0.370691923,3800.0,6,0,0,0,1.0,0
0.343953788,64,0,0.276180955,4000.0,9,0,1,0,0.0,0
0.9999999,42,0,0.0,2400.0,0,0,0,0,0.0,0
0.430505672,51,0,0.382286634,3104.0,9,0,3,0,0.0,0
0.876678083,55,0,0.489269389,12906.0,11,0,3,0,2.0,0
0.025725154,76,0,0.167493201,6250.0,9,0,1,0,0.0,0
0.0,41,0,0.123684696,5416.0,3,0,0,0,2.0,0
0.9999999,49,0,0.3837687,12900.0,5,0,1,0,2.0,0
0.744831676,42,0,0.667777408,3000.0,9,0,2,0,2.0,1
0.0,69,0,0.195573923,7500.0,6,0,1,0,0.0,0
0.0,53,0,20.0,,4,0,0,0,0.0,0
1.029169607,25,0,0.314345501,4300.0,18,0,1,1,0.0,1
0.001333319,34,0,0.059993685,9500.0,7,0,0,0,2.0,0
1.011473529,30,1,0.425805854,10795.0,9,0,1,0,1.0,1
0.120522977,90,0,130.0,,5,0,0,0,0.0,0
0.052684574,52,0,0.19429498,13566.0,12,0,1,0,0.0,0
0.079638407,66,0,0.017876079,6600.0,7,0,0,0,0.0,0
0.794220578,69,0,0.737511353,1100.0,8,0,0,0,0.0,0
0.166973478,62,0,0.027371579,8000.0,9,0,0,0,0.0,0
0.679449477,66,0,0.605997501,2400.0,5,0,3,0,0.0,0
0.565420723,54,2,0.297542651,19166.0,22,0,2,0,0.0,0
0.383887268,56,0,1857.0,,17,0,1,0,0.0,0
0.007666156,59,0,3.0,,1,0,0,0,0.0,0
0.037468384,35,0,0.116739581,4342.0,3,0,0,0,0.0,0
0.01896458,57,0,0.861018993,3316.0,8,0,3,0,0.0,0
0.259989773,49,0,0.470113325,13500.0,15,0,4,0,1.0,0
0.560273573,45,1,0.340528239,14500.0,16,0,2,0,2.0,0
0.9999999,75,0,0.110406196,12136.0,2,0,2,0,0.0,0
0.221186397,35,1,0.237351655,1600.0,7,0,0,0,0.0,1
0.9999999,66,0,0.510934778,5166.0,5,0,2,0,0.0,0
0.738426037,46,0,1.522727273,1275.0,10,0,1,0,1.0,0
0.346234449,46,0,0.356827622,7703.0,9,0,2,0,0.0,0
0.033035349,54,0,0.647583133,5833.0,10,0,2,0,1.0,0
0.226611689,33,0,0.303486998,6767.0,7,0,1,0,2.0,0
0.008249794,49,0,0.312923633,4425.0,7,0,1,0,0.0,0
0.226834737,42,0,0.303671353,7326.0,11,0,1,0,0.0,0
0.190131667,50,0,0.015972974,237400.0,10,0,2,0,3.0,0
0.100603451,71,0,0.069405886,1800.0,8,0,0,0,0.0,0
0.54965865,39,0,0.545828716,6316.0,22,0,2,0,1.0,1
0.998901099,27,1,0.272680677,1950.0,2,1,0,0,0.0,1
0.863427315,52,0,0.081447141,11000.0,5,0,0,0,0.0,0
0.021502145,40,0,0.24764353,3500.0,5,0,1,0,3.0,0
0.110131756,38,0,0.082939567,8041.0,12,0,0,0,3.0,0
0.030815255,67,0,0.016826004,2614.0,14,0,0,0,0.0,0
0.066936043,74,0,0.223590408,3085.0,6,0,0,0,0.0,0
0.92103948,43,0,0.404690483,3666.0,7,0,1,0,0.0,0
0.02089484,78,0,0.518370407,4000.0,9,0,3,0,1.0,0
0.00543222,60,0,9.0,,6,0,0,0,0.0,0
0.880133185,32,0,0.301347709,1854.0,3,3,0,2,0.0,0
0.153624725,36,1,0.47518633,5500.0,8,0,1,0,3.0,0
0.9999999,48,0,0.005171522,5800.0,0,0,0,0,4.0,0
0.054102491,71,0,0.265173483,10000.0,6,0,3,0,1.0,0
0.0,63,0,0.0,3097.0,1,0,0,0,0.0,0
0.046297433,49,0,0.387243957,10300.0,11,0,4,0,0.0,0
0.9999999,82,0,21.0,,3,0,0,0,0.0,0
0.189818004,62,0,15.47011952,250.0,12,0,2,0,2.0,0
0.101001988,61,0,0.217114791,15880.0,5,0,1,0,0.0,0
0.168891893,53,0,0.440837937,4343.0,7,0,1,0,2.0,0
0.366449427,55,0,0.464910594,5200.0,17,0,1,0,0.0,0
0.0,63,0,0.0,4000.0,4,0,0,0,0.0,0
0.137251912,27,0,0.063909037,5100.0,16,0,0,0,0.0,0
0.012182249,39,1,0.259710452,5663.0,11,0,2,0,2.0,0
0.489150362,48,0,0.199764752,5100.0,4,0,0,0,3.0,0
0.037758831,77,0,302.0,,7,0,0,0,0.0,0
0.047761348,39,0,0.193282748,17000.0,13,0,2,0,0.0,0
0.05531812,66,0,42.0,,6,0,0,0,,0
0.088403235,40,0,3057.0,,6,0,2,0,,0
0.047965871,61,0,3013.0,,21,0,2,0,0.0,0
0.206482964,45,0,0.463670127,10500.0,12,0,2,0,1.0,0
0.031926819,52,0,0.004772727,4399.0,2,0,0,0,2.0,0
0.052623363,56,0,0.074168798,4300.0,7,0,0,0,2.0,0
0.074269222,57,0,0.233517342,9600.0,14,0,1,0,1.0,0
0.038289507,78,0,479.0,,9,0,0,0,0.0,0
0.054484158,53,0,0.008779631,6833.0,4,0,0,0,0.0,0
0.700557148,56,0,0.283218889,8300.0,6,0,1,0,2.0,0
0.130922863,42,0,0.345332476,14000.0,15,0,2,0,4.0,0
0.887642477,44,0,0.550493963,5465.0,5,0,1,0,2.0,0
0.012140214,41,0,0.592437739,5500.0,17,0,3,0,2.0,0
0.086576619,38,0,484.0,,9,0,0,0,2.0,0
0.353458617,49,0,0.149391149,10100.0,5,2,1,0,0.0,1
0.360907571,72,0,0.356679286,3697.0,6,0,1,0,0.0,0
0.020095221,79,0,0.009703645,3812.0,9,0,0,0,0.0,0
0.933992024,61,0,0.782475234,7166.0,10,0,2,0,0.0,0
0.965743266,51,2,0.755144033,1943.0,7,0,0,1,1.0,0
0.774086379,47,0,35.0,,1,0,0,0,0.0,0
0.065841651,60,0,0.148453279,18813.0,10,0,1,0,2.0,0
0.347281322,55,0,0.578253968,6299.0,13,0,1,0,1.0,0
0.057384174,47,0,0.886022795,5000.0,12,0,2,0,0.0,0
0.024974639,39,0,0.201886792,12189.0,7,0,2,0,2.0,0
0.192846006,52,0,4783.0,,11,0,2,0,1.0,0
0.9999999,34,0,0.0,1421.0,0,1,0,0,1.0,0
0.0,55,0,0.346724184,3708.0,9,0,1,0,0.0,0
0.53912639,49,0,0.164967007,5000.0,11,0,0,0,1.0,0
0.113181232,51,0,0.112118543,19300.0,13,0,2,0,2.0,0
0.105563385,35,0,0.205509887,4500.0,13,0,0,1,0.0,0
0.0,41,0,0.0,,4,0,0,0,0.0,0
0.056919602,63,1,0.225176371,18993.0,17,0,2,0,0.0,0
0.83261914,44,0,0.301488558,4500.0,5,0,2,0,0.0,0
0.592545685,50,0,0.522901315,6920.0,11,0,2,0,0.0,0
0.062638241,69,0,0.327073552,3833.0,8,0,2,0,1.0,0
0.013722647,69,0,5968.0,,16,0,3,0,0.0,0
0.095000066,42,0,0.433298862,2900.0,9,0,0,0,2.0,0
0.43220339,47,0,0.107243916,3533.0,4,2,0,1,0.0,1
0.530822951,60,0,0.52304336,11000.0,15,0,3,0,1.0,0
0.098585336,35,0,0.37493751,6000.0,13,0,1,0,0.0,0
0.0,84,0,0.008715596,2179.0,2,0,0,0,0.0,0
0.041382491,50,0,51.0,,2,0,0,0,3.0,0
0.400335992,63,0,0.576792772,7083.0,17,0,2,0,0.0,0
0.0,65,0,0.128658089,15000.0,6,0,1,0,0.0,0
0.9999999,56,0,0.368753288,1900.0,6,0,0,0,0.0,0
0.02039898,46,0,0.667525773,2715.0,7,0,1,0,2.0,0
0.058739462,60,0,0.09728151,4450.0,11,0,0,0,0.0,0
0.000291661,55,0,0.241921678,9345.0,11,0,2,0,1.0,0
0.463638891,45,0,0.449663623,8323.0,12,0,0,0,2.0,0
0.220821447,44,0,0.027903887,9030.0,5,0,0,0,1.0,0
0.847394771,60,3,0.536957242,6033.0,12,1,1,0,0.0,0
0.0,28,1,1943.0,,8,0,0,0,1.0,0
0.018990505,24,0,0.001218027,820.0,2,0,0,0,0.0,0
0.079666759,45,0,0.127822319,57000.0,22,0,1,0,1.0,0
0.937531861,64,2,0.563646207,14776.0,9,0,2,1,1.0,0
0.014671248,44,1,0.315680596,4833.0,12,0,2,0,2.0,0
0.046221474,49,0,0.294585271,6666.0,13,0,2,0,1.0,0
0.9999999,32,1,0.099484536,3879.0,2,15,0,0,3.0,0
0.9999999,26,0,0.006996502,2000.0,1,0,0,0,0.0,0
0.632317474,61,0,0.340683572,2720.0,4,1,1,0,0.0,0
1.053324869,36,2,0.186700767,5864.0,5,2,1,2,2.0,1
0.0,45,0,0.135716071,4000.0,6,0,0,0,1.0,0
0.034409335,45,2,0.246047572,14041.0,8,0,2,0,1.0,0
0.983818917,33,0,0.314016532,11250.0,3,0,1,0,2.0,0
0.237958109,60,1,1264.0,,10,0,1,0,0.0,0
0.389328243,29,0,0.171131547,2500.0,2,0,0,0,0.0,0
0.04279424,44,0,0.216458806,10583.0,14,0,1,0,2.0,0
0.806544463,74,0,0.41026806,2200.0,6,0,0,0,0.0,0
0.0010261,68,0,0.468277946,3640.0,18,0,2,0,2.0,0
0.01025403,65,3,1613.0,,18,0,1,0,0.0,0
0.52710085,50,3,0.467539553,5498.0,15,1,1,1,1.0,1
0.660930795,38,0,0.39287945,1600.0,7,0,0,0,3.0,1
0.08458817,46,0,0.189913318,2537.0,10,0,0,1,1.0,0
0.334283286,50,0,0.309586302,8000.0,4,0,1,0,3.0,0
0.07417981,58,0,1897.0,,18,0,1,0,0.0,0
0.017889656,55,0,569.0,,14,0,1,0,0.0,0
0.974039642,26,1,0.196983141,1126.0,4,0,0,0,1.0,0
0.437460284,56,0,0.586869266,6975.0,15,0,3,0,1.0,0
0.0,38,0,0.574978578,3500.0,6,0,1,0,2.0,0
0.854461301,57,1,0.256599594,10833.0,6,0,1,0,2.0,0
0.895961874,51,0,0.512058928,8416.0,5,0,2,1,2.0,0
0.620422447,42,0,148.0,,1,0,0,0,0.0,0
0.011443436,58,0,0.297557033,11133.0,13,0,1,0,2.0,0
0.017732151,45,0,0.000933209,7500.0,4,0,0,0,0.0,0
0.423687266,69,0,0.205025573,4496.0,4,0,0,0,1.0,0
0.076950765,44,0,0.205424661,16000.0,8,0,2,0,4.0,0
0.097111758,55,0,0.209375636,9833.0,7,0,1,0,0.0,0
0.234117725,40,0,3033.0,,7,0,2,0,0.0,0
0.19797335,70,0,0.38714838,7500.0,21,0,1,0,1.0,0
0.942327072,63,0,0.667026444,7411.0,17,0,1,0,1.0,0
0.0,32,0,0.028934368,4250.0,1,2,0,0,0.0,0
0.997678986,47,0,0.231683542,15900.0,13,0,1,0,0.0,0
0.459435265,62,0,0.629621527,9141.0,22,0,2,0,0.0,0
0.598748883,56,3,0.524658217,18066.0,12,2,2,0,1.0,1
0.0,81,0,0.0,7500.0,7,0,0,0,0.0,0
0.274922647,45,2,0.600375738,3725.0,8,0,2,0,2.0,0
0.142380259,28,0,0.383873957,5394.0,22,0,1,0,0.0,0
0.268182997,86,1,1749.0,,18,0,0,0,0.0,0
0.530205779,62,0,0.169971671,6000.0,5,0,0,0,0.0,0
0.01139924,44,0,0.007132668,700.0,2,0,0,0,3.0,0
0.042866498,59,1,0.285130211,11250.0,8,0,1,0,1.0,0
0.646385385,46,0,0.639781362,7500.0,15,0,1,0,1.0,0
0.148463367,60,0,0.402708624,5020.0,13,0,1,0,0.0,0
0.019398474,77,0,0.020723505,5500.0,15,0,0,0,0.0,0
0.141228518,62,0,0.406338427,5300.0,13,0,2,0,1.0,0
0.875973047,79,0,1.064918851,800.0,6,0,0,0,0.0,0
0.023879373,59,1,0.425492034,3200.0,8,0,1,0,1.0,0
0.493715265,46,0,743.0,,4,0,0,0,0.0,0
0.031949201,75,0,0.008603124,4416.0,3,0,0,0,0.0,0
0.184908679,55,0,0.180419094,11500.0,9,0,2,0,3.0,0
0.447456817,63,0,0.521103218,7178.0,11,0,1,0,0.0,0
0.257603595,57,0,0.313247307,8446.0,25,0,3,0,2.0,0
0.997002997,44,0,0.154711322,4000.0,5,0,0,0,1.0,0
0.00294257,49,0,0.534993397,5300.0,22,0,2,0,2.0,0
0.633749629,40,0,0.330283486,6666.0,7,0,1,0,3.0,0
0.511774928,68,0,2.091954023,2000.0,17,0,2,0,0.0,0
0.202986038,41,0,0.250071998,10416.0,6,0,1,0,2.0,0
0.9999999,37,0,0.0,5750.0,1,2,0,0,3.0,0
0.0,45,0,0.460930641,3416.0,5,0,2,0,2.0,0
0.101540217,56,0,0.388124864,4580.0,10,0,1,0,0.0,0
0.109715321,45,0,0.323474276,4800.0,8,0,1,0,2.0,0
0.927256792,54,1,0.230695536,5218.0,11,0,0,0,2.0,0
0.018571922,72,0,0.109378124,5000.0,19,0,0,0,0.0,0
0.107420987,52,0,0.180181924,5166.0,11,0,1,0,0.0,0
0.239356833,68,0,0.210455529,17100.0,17,0,2,0,1.0,0
0.287994566,84,1,1415.0,,15,0,1,0,0.0,0
0.161216958,34,0,0.141199226,5686.0,12,0,0,0,1.0,0
0.231777981,61,0,0.408276286,13000.0,13,0,3,1,0.0,1
0.985389781,51,1,0.515205086,56000.0,42,0,25,0,1.0,0
0.213345123,54,0,0.536800785,8151.0,13,0,2,0,1.0,0
0.039435035,42,0,0.008032129,2240.0,2,0,0,0,0.0,0
0.11371836,66,0,0.392202599,3000.0,10,0,1,0,0.0,0
0.387890838,43,0,1.141571686,5000.0,16,0,3,0,1.0,0
0.264462006,45,0,0.899504806,3432.0,13,0,3,0,0.0,0
1.180327869,49,1,0.616717771,7500.0,9,0,2,0,0.0,1
0.569218433,37,0,0.23571175,2816.0,6,0,0,0,0.0,0
0.037981009,63,0,742.0,,7,0,0,0,0.0,0
0.824695884,34,0,0.191900076,2641.0,5,0,0,0,0.0,0
0.172919276,49,1,0.091532396,2916.0,9,0,0,0,0.0,0
0.9999999,38,0,693.0,,3,8,0,0,0.0,1
0.618470203,50,0,2005.0,,9,0,2,0,0.0,0
0.856391373,38,0,539.0,,5,1,0,1,0.0,1
0.426678666,44,0,1855.0,,2,0,1,0,0.0,0
0.0,63,0,1646.0,0.0,4,0,1,0,0.0,0
1.731343284,32,2,0.107732981,3025.0,2,2,0,0,2.0,0
0.284371373,55,0,1.096686224,12100.0,20,0,6,0,3.0,0
0.020119566,66,0,0.236201577,2916.0,16,0,1,0,0.0,0
0.126846221,40,1,2471.0,0.0,9,0,2,0,4.0,0
0.487158975,79,1,3560.0,,20,0,3,0,0.0,0
0.163490452,64,0,0.638951877,3968.0,11,0,2,0,0.0,0
0.035386632,70,0,21.0,,3,0,0,0,,0
0.06614367,66,0,0.262818446,3100.0,7,0,1,0,0.0,0
0.210757619,46,0,198.0,,3,0,0,0,,0
0.763328603,58,0,0.636421589,4705.0,15,0,2,0,0.0,0
0.047526189,35,0,0.193468795,6889.0,11,0,0,0,4.0,0
0.9999999,77,0,26.0,,1,0,0,0,,0
0.072747833,32,0,0.353825322,7384.0,5,0,2,0,0.0,0
0.006749663,58,0,1068.0,,3,0,1,0,0.0,0
0.020515747,50,0,0.245448415,2965.0,9,0,1,1,2.0,0
0.215287599,43,0,0.421595982,3583.0,9,0,1,0,0.0,0
0.205553728,45,0,0.735926972,4600.0,20,0,2,0,0.0,0
0.069546252,44,0,0.079168333,2500.0,7,0,0,0,2.0,0
0.618717825,54,2,1.065423163,3591.0,20,0,1,0,0.0,0
0.003459931,47,0,0.168007803,4100.0,9,0,0,0,2.0,0
0.144514668,35,0,0.040647968,20000.0,6,0,0,0,0.0,0
0.22913615,63,0,0.380361329,7250.0,8,0,1,0,0.0,0
0.325507587,35,0,0.653869226,3333.0,9,0,1,0,1.0,0
0.801999048,63,1,2084.0,,7,0,1,0,0.0,1
0.217594135,75,0,19.0,,5,0,0,0,0.0,0
0.994615845,46,0,0.744879899,3954.0,10,0,2,0,3.0,0
0.9999999,31,0,0.085143054,2900.0,2,0,0,0,1.0,0
0.542497167,55,0,1765.0,,7,0,1,1,0.0,0
0.0,54,0,1273.0,,3,0,2,0,0.0,0
0.137941468,59,0,0.594922346,14100.0,22,0,6,0,0.0,0
0.831737928,48,0,0.653589933,1350.0,7,0,0,0,0.0,0
0.871272832,38,0,811.0,,20,0,0,1,0.0,1
0.993128068,29,0,0.114209659,7888.0,7,0,0,0,0.0,0
0.337774577,64,0,0.257371314,2000.0,13,0,0,0,0.0,0
0.954136391,54,0,0.550821233,4200.0,4,0,1,0,3.0,0
0.44766787,55,0,0.212412712,14033.0,13,0,1,0,0.0,0
0.087575832,60,0,0.066284977,12400.0,4,0,1,0,0.0,0
0.199612524,42,0,0.05062625,9500.0,4,0,0,0,0.0,0
0.001709282,72,0,0.64686529,5470.0,12,0,2,0,2.0,0
0.266720737,75,0,403.0,,6,0,0,0,,0
0.001119808,56,0,0.190629183,3734.0,12,0,1,0,0.0,0
0.389507366,78,0,0.222751729,6504.0,5,0,1,0,1.0,0
0.174063437,69,0,2075.0,,12,0,2,0,0.0,0
0.97020298,31,0,0.085245902,6404.0,3,0,0,0,3.0,0
0.154687564,32,0,0.029081097,6670.0,5,0,0,0,0.0,0
0.012961289,45,0,0.13247792,6000.0,10,0,1,0,1.0,0
0.058963878,81,2,0.114977005,5000.0,18,0,0,0,0.0,0
0.359541199,31,2,0.424831849,5500.0,8,0,1,0,1.0,0
0.099045048,60,0,0.159357531,12700.0,3,0,1,0,0.0,0
0.023960617,49,0,0.329207332,4200.0,6,0,2,0,2.0,0
0.005373784,87,0,2.0,,5,0,0,0,,0
0.911359096,55,1,0.228506141,3500.0,13,0,0,0,2.0,0
0.02102914,43,0,0.170775171,3366.0,3,0,1,0,2.0,0
0.835190853,68,2,0.572937522,14484.0,24,0,4,0,1.0,0
0.340659341,69,0,0.213487198,2772.0,4,0,0,0,0.0,0
0.089391061,49,0,0.18990755,7787.0,5,0,1,0,3.0,0
0.064461984,56,0,0.258061325,10109.0,6,0,2,0,0.0,0
0.9999999,27,0,358.0,,1,1,0,0,0.0,0
0.000255665,49,0,0.022359595,7602.0,11,0,0,0,0.0,0
0.9999999,32,0,0.306815642,4474.0,5,0,1,0,0.0,0
0.9999999,53,0,11.0,,1,2,0,0,,0
0.002977181,49,0,0.159735268,34600.0,14,0,3,0,3.0,0
0.999315303,32,0,0.329896907,3200.0,7,0,0,0,0.0,0
0.0,35,0,0.608821242,9000.0,8,0,3,0,2.0,0
0.408422406,44,0,0.461613501,10250.0,19,0,2,0,2.0,0
0.098483825,56,0,0.476435304,3500.0,6,0,1,0,3.0,0
0.124867196,70,0,0.009831695,6000.0,2,0,0,0,0.0,0
0.094842916,47,1,0.154748968,4600.0,10,0,0,0,1.0,0
0.9999999,39,0,0.359234395,7000.0,3,0,2,0,5.0,0
0.329467413,60,0,0.425733456,7600.0,16,0,2,0,1.0,0
0.006938931,59,0,0.097370137,4600.0,12,0,0,0,1.0,0
0.0,58,0,0.53699178,4500.0,8,0,1,0,1.0,0
0.007523571,69,0,0.24688057,4487.0,9,0,2,0,0.0,0
0.003166601,89,0,4.0,,2,0,0,0,0.0,0
0.207222886,74,0,0.686578355,4000.0,23,0,2,0,1.0,0
0.466982039,58,0,0.749535237,11833.0,22,0,5,1,0.0,0
0.00991722,81,0,3.0,,4,0,0,0,0.0,0
0.286690995,41,2,2688.0,,10,0,2,0,0.0,0
0.046661393,71,0,0.137902897,2450.0,14,0,1,0,0.0,0
0.087833186,55,0,187.0,1.0,7,0,0,0,0.0,0
0.033852643,57,0,0.056090414,7166.0,13,0,0,0,1.0,0
0.799157576,38,0,0.810496381,3867.0,12,0,2,0,2.0,0
