"RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30-59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60-89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"0.039179728","61","1","0.358676291","32000.0","13","0","6","0","0.0","0"
"0.121270298","31","0","0.228885557","2000.0","5","0","0","0","0.0","0"
"0.337308348","57","1","0.479850047","3200.0","13","0","1","1","2.0","0"
"0.03304371","69","0","0.016660356","2640.0","4","0","0","0","0.0","0"
"0.285918309","29","1","0.442033898","1474.0","9","0","0","0","0.0","0"
"1.00313917","29","1","2.568862275","500.0","12","0","0","1","0.0","0"
"0.31750943","62","0","0.744654669","6500.0","20","0","1","0","0.0","0"
"0.043024108","60","0","40.0","","2","0","0","0","0.0","0"
"0.665244365","38","0","0.289847488","13375.0","15","0","1","0","3.0","0"
"0.277256573","58","0","0.464229115","8833.0","12","0","1","0","2.0","0"
"0.05099745","48","0","0.201982652","4841.0","2","0","1","0","2.0","0"
"0.442938807","80","0","0.333185202","9000.0","8","0","2","0","0.0","0"
"0.280366071","63","0","0.629327902","5400.0","10","0","2","0","0.0","0"
"0.619843503","66","0","2997.0","","14","0","1","0","0.0","0"
"0.001980029","69","0","0.583138954","3000.0","10","0","1","0","0.0","0"
"0.17728101","78","0","119.0","","4","0","0","0","0.0","0"
"0.674555227","50","0","0.442956274","33000.0","9","0","2","0","3.0","0"
"0.00222214","50","0","0.210875332","15833.0","8","0","2","0","5.0","0"
"0.277036148","41","0","0.070366204","8000.0","9","0","0","0","2.0","0"
"0.525684234","56","0","5595.0","","6","0","3","0","2.0","0"
"0.316165384","35","0","0.331385914","3080.0","8","0","0","0","0.0","0"
"0.095416277","46","0","0.229738354","4700.0","5","0","1","0","0.0","0"
"0.012553429","63","0","0.018392643","2500.0","10","0","0","0","0.0","0"
"0.96152513","35","0","0.221194701","4000.0","5","1","0","0","2.0","0"
"0.003529352","78","1","1391.0","","6","1","1","1","0.0","0"
"0.998615438","60","0","0.323494173","9180.0","6","0","1","0","1.0","0"
"0.076263925","31","0","0.00159968","5000.0","3","0","0","0","1.0","0"
"0.688049979","48","1","0.509629509","12253.0","11","0","3","0","2.0","0"
"0.246891589","47","3","0.504126547","4361.0","13","0","1","0","3.0","0"
"0.060066817","84","0","2480.0","","4","0","1","0","0.0","0"
"0.093312597","24","0","0.002499479","4800.0","2","0","0","0","0.0","0"
"0.083156674","46","0","0.100489951","10000.0","3","0","1","0","3.0","0"
"0.061357306","66","0","593.0","","34","0","1","0","0.0","0"
"0.232504999","22","0","0.0059985","4000.0","3","0","0","0","0.0","0"
"0.01439856","40","0","0.054389122","5000.0","3","0","0","0","0.0","0"
"0.0","68","0","242.0","","3","0","0","0","0.0","0"
"0.698976723","35","0","0.589326391","6145.0","11","0","1","0","2.0","0"
"0.00060323","66","0","0.005189029","10791.0","6","0","0","0","0.0","0"
"0.695076328","57","1","0.386211104","4916.0","7","0","0","0","0.0","0"
"0.0","39","1","0.465420783","8400.0","7","0","2","0","1.0","0"
"0.0","52","0","1855.0","0.0","3","0","1","0","0.0","0"
"0.0","38","0","0.828021497","8000.0","9","0","3","0","3.0","0"
"0.042415253","50","0","890.0","","8","0","2","0","1.0","0"
"0.145903584","59","0","0.479955662","5412.0","4","0","1","0","0.0","0"
"0.030596363","78","0","725.0","","5","0","1","0","0.0","0"
"0.036813032","45","0","632.0","","5","0","1","0","0.0","0"
"0.123438206","54","0","2412.0","","9","0","1","0","2.0","0"
"0.024866156","87","0","0.002699055","5927.0","4","0","0","0","0.0","0"
"0.632247596","68","0","0.143485651","10000.0","9","0","0","0","1.0","0"
"0.07296215","49","0","0.259409221","10866.0","11","0","2","0","2.0","0"
"0.362547775","60","1","7232.0","","12","0","2","1","0.0","0"
"0.258783205","39","0","0.381936471","5225.0","5","0","1","0","0.0","0"
"0.023326055","67","0","34.0","","6","0","0","0","","0"
"0.9999999","49","0","2.141742523","768.0","5","0","1","0","0.0","0"
"0.438347603","43","0","0.325533175","3375.0","8","0","2","0","1.0","0"
"0.07006516","57","0","0.392880949","7500.0","10","0","2","0","3.0","0"
"0.180945476","66","0","0.119792369","14833.0","3","0","1","0","3.0","0"
"0.535892821","33","0","0.785134291","1600.0","4","0","1","0","2.0","0"
"0.006729945","64","0","2.072069546","10697.0","15","0","11","0","0.0","0"
"0.017364592","64","0","2530.0","","11","0","3","0","1.0","0"
"0.946263434","41","2","0.202661431","4583.0","5","1","0","0","0.0","0"
"0.111456247","52","0","0.223615969","8290.0","19","0","1","0","2.0","0"
"0.021184332","60","0","0.715350224","1341.0","6","0","1","0","0.0","0"
"0.511025503","40","0","0.154057772","15266.0","9","0","2","0","0.0","0"
"0.03159842","47","0","18.0","","2","0","0","0","0.0","0"
"0.780730897","37","0","0.122552448","5719.0","8","0","0","0","1.0","0"
"0.447123514","77","0","0.519296905","7850.0","13","0","2","0","0.0","0"
"0.0","40","0","0.407687181","4500.0","5","0","1","0","0.0","0"
"0.044870788","67","0","0.109232638","9877.0","10","0","0","0","0.0","0"
"0.044462317","41","0","0.391288522","8241.0","13","0","2","0","1.0","0"
"0.081091891","29","1","0.005440943","4410.0","3","0","0","0","0.0","0"
"0.077134986","23","0","0.086765294","2500.0","4","0","0","0","0.0","0"
"0.431291817","39","0","0.577211394","2000.0","11","0","1","0","2.0","0"
"0.297816788","43","0","0.542639659","7750.0","6","0","2","0","2.0","0"
"0.069888368","43","0","0.361452641","8783.0","3","0","1","0","3.0","0"
"0.019222268","78","0","0.028452464","1440.0","9","0","0","0","0.0","0"
"0.0","58","0","0.152403535","13916.0","10","0","2","0","0.0","0"
"0.004692187","81","0","170.0","","6","0","0","0","0.0","0"
"0.810945274","49","0","4.0","","1","0","0","0","0.0","0"
"0.884424827","62","0","1.171948052","1924.0","11","0","1","0","0.0","0"
"0.9999999","47","0","0.370691923","3800.0","6","0","0","0","1.0","0"
"0.343953788","64","0","0.276180955","4000.0","9","0","1","0","0.0","0"
"0.9999999","42","0","0.0","2400.0","0","0","0","0","0.0","0"
"0.430505672","51","0","0.382286634","3104.0","9","0","3","0","0.0","0"
"0.876678083","55","0","0.489269389","12906.0","11","0","3","0","2.0","0"
"0.025725154","76","0","0.167493201","6250.0","9","0","1","0","0.0","0"
"0.0","41","0","0.123684696","5416.0","3","0","0","0","2.0","0"
"0.9999999","49","0","0.3837687","12900.0","5","0","1","0","2.0","0"
"0.0","69","0","0.195573923","7500.0","6","0","1","0","0.0","0"
"0.0","53","0","20.0","","4","0","0","0","0.0","0"
"0.001333319","34","0","0.059993685","9500.0","7","0","0","0","2.0","0"
"0.120522977","90","0","130.0","","5","0","0","0","0.0","0"
"0.052684574","52","0","0.19429498","13566.0","12","0","1","0","0.0","0"
"0.079638407","66","0","0.017876079","6600.0","7","0","0","0","0.0","0"
"0.794220578","69","0","0.737511353","1100.0","8","0","0","0","0.0","0"
"0.166973478","62","0","0.027371579","8000.0","9","0","0","0","0.0","0"
"0.679449477","66","0","0.605997501","2400.0","5","0","3","0","0.0","0"
"0.565420723","54","2","0.297542651","19166.0","22","0","2","0","0.0","0"
"0.383887268","56","0","1857.0","","17","0","1","0","0.0","0"
"0.007666156","59","0","3.0","","1","0","0","0","0.0","0"
"0.037468384","35","0","0.116739581","4342.0","3","0","0","0","0.0","0"
"0.01896458","57","0","0.861018993","3316.0","8","0","3","0","0.0","0"
"0.259989773","49","0","0.470113325","13500.0","15","0","4","0","1.0","0"
"0.560273573","45","1","0.340528239","14500.0","16","0","2","0","2.0","0"
"0.9999999","75","0","0.110406196","12136.0","2","0","2","0","0.0","0"
"0.9999999","66","0","0.510934778","5166.0","5","0","2","0","0.0","0"
"0.738426037","46","0","1.522727273","1275.0","10","0","1","0","1.0","0"
"0.346234449","46","0","0.356827622","7703.0","9","0","2","0","0.0","0"
"0.033035349","54","0","0.647583133","5833.0","10","0","2","0","1.0","0"
"0.226611689","33","0","0.303486998","6767.0","7","0","1","0","2.0","0"
"0.008249794","49","0","0.312923633","4425.0","7","0","1","0","0.0","0"
"0.226834737","42","0","0.303671353","7326.0","11","0","1","0","0.0","0"
"0.190131667","50","0","0.015972974","237400.0","10","0","2","0","3.0","0"
"0.100603451","71","0","0.069405886","1800.0","8","0","0","0","0.0","0"
"0.863427315","52","0","0.081447141","11000.0","5","0","0","0","0.0","0"
"0.021502145","40","0","0.24764353","3500.0","5","0","1","0","3.0","0"
"0.110131756","38","0","0.082939567","8041.0","12","0","0","0","3.0","0"
"0.030815255","67","0","0.016826004","2614.0","14","0","0","0","0.0","0"
"0.066936043","74","0","0.223590408","3085.0","6","0","0","0","0.0","0"
"0.92103948","43","0","0.404690483","3666.0","7","0","1","0","0.0","0"
"0.02089484","78","0","0.518370407","4000.0","9","0","3","0","1.0","0"
"0.00543222","60","0","9.0","","6","0","0","0","0.0","0"
"0.880133185","32","0","0.301347709","1854.0","3","3","0","2","0.0","0"
"0.153624725","36","1","0.47518633","5500.0","8","0","1","0","3.0","0"
"0.9999999","48","0","0.005171522","5800.0","0","0","0","0","4.0","0"
"0.054102491","71","0","0.265173483","10000.0","6","0","3","0","1.0","0"
"0.0","63","0","0.0","3097.0","1","0","0","0","0.0","0"
"0.046297433","49","0","0.387243957","10300.0","11","0","4","0","0.0","0"
"0.9999999","82","0","21.0","","3","0","0","0","0.0","0"
"0.189818004","62","0","15.47011952","250.0","12","0","2","0","2.0","0"
"0.101001988","61","0","0.217114791","15880.0","5","0","1","0","0.0","0"
"0.168891893","53","0","0.440837937","4343.0","7","0","1","0","2.0","0"
"0.366449427","55","0","0.464910594","5200.0","17","0","1","0","0.0","0"
"0.0","63","0","0.0","4000.0","4","0","0","0","0.0","0"
"0.137251912","27","0","0.063909037","5100.0","16","0","0","0","0.0","0"
"0.012182249","39","1","0.259710452","5663.0","11","0","2","0","2.0","0"
"0.489150362","48","0","0.199764752","5100.0","4","0","0","0","3.0","0"
"0.037758831","77","0","302.0","","7","0","0","0","0.0","0"
"0.047761348","39","0","0.193282748","17000.0","13","0","2","0","0.0","0"
"0.05531812","66","0","42.0","","6","0","0","0","","0"
"0.088403235","40","0","3057.0","","6","0","2","0","","0"
"0.047965871","61","0","3013.0","","21","0","2","0","0.0","0"
"0.206482964","45","0","0.463670127","10500.0","12","0","2","0","1.0","0"
"0.031926819","52","0","0.004772727","4399.0","2","0","0","0","2.0","0"
"0.052623363","56","0","0.074168798","4300.0","7","0","0","0","2.0","0"
"0.074269222","57","0","0.233517342","9600.0","14","0","1","0","1.0","0"
"0.038289507","78","0","479.0","","9","0","0","0","0.0","0"
"0.054484158","53","0","0.008779631","6833.0","4","0","0","0","0.0","0"
"0.700557148","56","0","0.283218889","8300.0","6","0","1","0","2.0","0"
"0.130922863","42","0","0.345332476","14000.0","15","0","2","0","4.0","0"
"0.887642477","44","0","0.550493963","5465.0","5","0","1","0","2.0","0"
"0.012140214","41","0","0.592437739","5500.0","17","0","3","0","2.0","0"
"0.086576619","38","0","484.0","","9","0","0","0","2.0","0"
"0.360907571","72","0","0.356679286","3697.0","6","0","1","0","0.0","0"
"1.272425249","41","2","0.451516161","3000.0","6","3","1","1","0.0","1"
"0.881076071","28","0","0.261956341","6000.0","12","0","0","2","0.0","1"
"0.578177728","25","0","0.590720483","2650.0","11","0","1","0","1.0","1"
"1.000782541","49","1","0.642629905","6600.0","9","0","1","1","0.0","1"
"1.089460292","63","1","1288.0","","5","2","0","2","0.0","1"
"0.884322479","35","1","0.281430826","1900.0","6","0","0","0","1.0","1"
"0.314595927","63","1","0.338830585","3334.0","11","0","1","0","1.0","1"
"1.017928974","63","1","0.466042155","5550.0","7","0","1","0","0.0","1"
"0.744831676","42","0","0.667777408","3000.0","9","0","2","0","2.0","1"
"1.029169607","25","0","0.314345501","4300.0","18","0","1","1","0.0","1"
"1.011473529","30","1","0.425805854","10795.0","9","0","1","0","1.0","1"
"0.221186397","35","1","0.237351655","1600.0","7","0","0","0","0.0","1"
"0.54965865","39","0","0.545828716","6316.0","22","0","2","0","1.0","1"
"0.998901099","27","1","0.272680677","1950.0","2","1","0","0","0.0","1"
"0.353458617","49","0","0.149391149","10100.0","5","2","1","0","0.0","1"
"0.43220339","47","0","0.107243916","3533.0","4","2","0","1","0.0","1"
"1.053324869","36","2","0.186700767","5864.0","5","2","1","2","2.0","1"
"0.52710085","50","3","0.467539553","5498.0","15","1","1","1","1.0","1"
"0.660930795","38","0","0.39287945","1600.0","7","0","0","0","3.0","1"
"0.598748883","56","3","0.524658217","18066.0","12","2","2","0","1.0","1"
